"id","creator_id","title","description","latitude","longitude","address","category","subcategory","rating","rating_count","photo_urls","hashtags","is_verified","is_active","visibility","created_at","updated_at","metadata","views_count","likes_count","comments_count","subcategory_id","author_name","shares_count","content_id","content_type","marker_type","used_in_blogs","is_user_modified","completeness_score","required_fields_filled","total_required_fields","needs_completion","completion_suggestions","calculated_rating","rating_source_count","categories"
"3897f0ad-407a-4c1d-8ede-058032d3a64e",NULL,"Памятник Г.С.Титову","","52.48740060","85.14258790",NULL,"attraction",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 06:42:27.430982","2025-10-12 06:42:27.430982","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"38e2079d-7aad-410e-b4ce-19344d0c88e9",NULL,"Памятник Слесарю","","55.13601670","124.74884540",NULL,"attraction",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 08:30:54.344037","2025-10-12 08:30:54.344037","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"38ea74c6-7b4a-481c-8158-56b773ef5b68",NULL,"Муром 1","","55.56360720","42.01689430",NULL,"transport",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 14:00:08.787393","2025-10-12 14:00:08.787393","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"38fcaec9-ff2f-4ca3-9f48-334a664c84c2",NULL,"С. И. Танееву","","56.12212370","40.38502360",NULL,"attraction",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 13:36:48.037316","2025-10-12 13:36:48.037316","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"39436555-44ea-495b-a9c3-47657428fed4",NULL,"То-То Пицца","","56.13892800","40.36536800",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 13:46:36.525852","2025-10-12 13:46:36.525852","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"394efb43-2362-43e9-af5a-0ab55fdacd12",NULL,"Столовая","","51.37901400","128.13222190",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 10:44:36.838292","2025-10-12 10:44:36.838292","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"397f5b9a-7e6b-4576-8e0e-92e96ec0d69f",NULL,"Силун","","50.24884580","127.49070610",NULL,"hotel",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 07:30:11.507205","2025-10-12 07:30:11.507205","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"398829f4-0695-428c-9133-4e6582045b3e",NULL,"Рельеф","","53.33737300","83.77538920",NULL,"entertainment",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 06:23:06.970466","2025-10-12 06:23:06.970466","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"39d2fd1b-0cbc-4f75-9580-579a11bf74af",NULL,"То-То Пицца","","56.33740160","41.31690580",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 12:27:28.50284","2025-10-12 12:27:28.50284","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3a19dadb-8691-4136-a4d2-83d11e7ec19c",NULL,"Музей Чуйского тракта","","52.53894640","85.22293340",NULL,"culture",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 06:42:53.666515","2025-10-12 06:42:53.666515","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3a1a0921-2cd4-4253-895b-4e60bfe065e1",NULL,"Таверна","","51.53674350","81.21853930",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 06:52:01.256809","2025-10-12 06:52:01.256809","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3a4c480e-e643-4d60-9aba-64eb2ce2b756",NULL,"Без названия","","56.12321570","40.41142580",NULL,"nature",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 13:49:30.570072","2025-10-12 13:49:30.570072","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3a4ee5e3-8df4-45ce-878a-5f277842df24",NULL,"Белогорск","","50.92056770","128.46132510",NULL,"transport",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 07:35:47.928588","2025-10-12 07:35:47.928588","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3a8295d2-4c36-435b-9db2-684c0865dc23",NULL,"Айхой","","50.25159860","127.48556170",NULL,"hotel",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 07:29:55.281233","2025-10-12 07:29:55.281233","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3aa47098-7fa1-44f0-b6cc-ad18662c0577",NULL,"Пушка суши","","56.14085740","40.39522110",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 13:46:39.628894","2025-10-12 13:46:39.628894","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3ab7bee4-2c0a-4975-9191-242b419787a9",NULL,"Дворник","","56.14716300","40.37472160",NULL,"attraction",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 13:36:54.188385","2025-10-12 13:36:54.188385","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3ac08fa2-e0cb-4769-9168-6b45619ed0f0",NULL,"Маяк","","55.14989670","124.73452840",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 08:31:50.889631","2025-10-12 08:31:50.889631","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3ac5324c-8bb1-4abf-83a6-0ad2f5294250",NULL,"Сациви","","50.28665040","127.54003260",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 07:29:22.482295","2025-10-12 07:29:22.482295","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3aedd874-b454-41de-bc0f-47b8f5bacf07",NULL,"Координаты","","53.39448520","83.99039700",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 07:12:51.654446","2025-10-12 07:12:51.654446","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3b1c84e1-7790-4a84-a425-f61e3e3dfa11",NULL,"Милосердие и порядок","","56.15282430","40.45869200",NULL,"entertainment",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 13:47:53.430842","2025-10-12 13:47:53.430842","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
"3b365a20-3aa2-41b1-b124-812236f601e5",NULL,"Дымок","","51.50946930","81.21990360",NULL,"restaurant",NULL,"0.00",0,"{}","{}",False,True,"public","2025-10-12 06:51:51.054676","2025-10-12 06:51:51.054676","{}",0,0,0,NULL,NULL,0,NULL,NULL,"standard",False,False,0,0,8,True,NULL,"0.00",0,"{""blog"": false, ""post"": false, ""event"": false, ""personal"": true}"
